工步时间,电压(V),容量(Ah),能量(Wh),系统记录时间,最大单体温度(℃)
0:03:29.000,3.2824,9.115538,30.296366,2025/09/26 19:47:57,32.5
0:03:30.000,3.2821,9.159148,30.439495,2025/09/26 19:47:58,32.5
0:03:31.000,3.2822,9.202759,30.582624,2025/09/26 19:47:59,32.5
0:03:32.000,3.2818,9.246413,30.72588,2025/09/26 19:48:00,32.5
0:03:33.000,3.2817,9.289981,30.868824,2025/09/26 19:48:01,32.5
0:03:34.000,3.2815,9.333591,31.011911,2025/09/26 19:48:02,32.5
0:03:35.000,3.2814,9.377202,31.154999,2025/09/26 19:48:03,32.5
0:03:36.000,3.2812,9.420814,31.298086,2025/09/26 19:48:04,32.5
0:03:37.000,3.2809,9.46438,31.441011,2025/09/26 19:48:05,32.5
0:03:38.000,3.281,9.507992,31.584076,2025/09/26 19:48:06,32.5
0:03:39.000,3.2809,9.551602,31.727119,2025/09/26 19:48:07,32.5
0:03:40.000,3.2805,9.595257,31.870306,2025/09/26 19:48:08,32.5
0:03:41.000,3.2804,9.638867,32.013351,2025/09/26 19:48:09,32.5
0:03:42.000,3.2802,9.682435,32.15625,2025/09/26 19:48:10,32.5
0:03:43.000,3.28,9.726089,32.299438,2025/09/26 19:48:11,32.5
0:03:44.000,3.28,9.769744,32.442616,2025/09/26 19:48:12,32.5
0:03:45.000,3.2798,9.813267,32.58535,2025/09/26 19:48:13,32.5
0:03:46.000,3.2798,9.856878,32.728348,2025/09/26 19:48:14,32.5
0:03:47.000,3.2798,9.900489,32.871349,2025/09/26 19:48:15,32.5
0:03:48.000,3.2795,9.944099,33.014347,2025/09/26 19:48:16,32.5
0:03:49.000,3.2793,9.987754,33.15749,2025/09/26 19:48:17,32.5
0:03:50.000,3.2791,10.031365,33.300491,2025/09/26 19:48:18,32.5
0:03:51.000,3.279,10.074932,33.44334,2025/09/26 19:48:19,32.5
0:03:52.000,3.2788,10.118325,33.585598,2025/09/26 19:48:20,32.5
0:03:53.000,3.2789,10.162197,33.729412,2025/09/26 19:48:21,32.5
0:03:54.000,3.2786,10.205852,33.872513,2025/09/26 19:48:22,32.5
0:03:55.000,3.2788,10.249419,34.015324,2025/09/26 19:48:23,32.5
0:03:56.000,3.2784,10.29303,34.158283,2025/09/26 19:48:24,32.5
0:03:57.000,3.2783,10.336684,34.30138,2025/09/26 19:48:25,32.5
0:03:58.000,3.278,10.380252,34.444195,2025/09/26 19:48:26,32.5
0:03:59.000,3.278,10.423776,34.586864,2025/09/26 19:48:27,32.5
0:04:00.000,3.278,10.467386,34.729805,2025/09/26 19:48:28,32.5
0:04:01.000,3.2779,10.511085,34.873005,2025/09/26 19:48:29,32.5
0:04:02.000,3.2777,10.554695,35.015919,2025/09/26 19:48:30,32.5
0:04:03.000,3.2776,10.598306,35.158833,2025/09/26 19:48:31,32.5
0:04:04.000,3.2774,10.641916,35.301743,2025/09/26 19:48:32,32.5
0:04:05.000,3.2774,10.685528,35.444656,2025/09/26 19:48:33,32.5
0:04:06.000,3.2774,10.729095,35.587425,2025/09/26 19:48:34,32.5
0:04:07.000,3.2772,10.772662,35.730194,2025/09/26 19:48:35,32.5
0:04:08.000,3.277,10.81636,35.873383,2025/09/26 19:48:36,32.5
0:04:09.000,3.277,10.859971,36.01627,2025/09/26 19:48:37,32.5
0:04:10.000,3.2768,10.903582,36.159142,2025/09/26 19:48:38,32.5
0:04:11.000,3.2769,10.946058,36.298294,2025/09/26 19:48:39,32.5
0:04:12.000,3.2766,10.990804,36.444878,2025/09/26 19:48:40,32.5
0:04:13.000,3.2765,11.034414,36.587746,2025/09/26 19:48:41,32.5
0:04:14.000,3.2764,11.077981,36.730473,2025/09/26 19:48:42,32.5
0:04:15.000,3.2763,11.121635,36.873486,2025/09/26 19:48:43,32.5
0:04:16.000,3.2763,11.165464,37.017067,2025/09/26 19:48:44,32.5
0:04:17.000,3.2762,11.208858,37.159222,2025/09/26 19:48:45,32.5
0:04:18.000,3.276,11.252424,37.301941,2025/09/26 19:48:46,32.5
0:04:19.000,3.276,11.295992,37.444633,2025/09/26 19:48:47,32.5
0:04:20.000,3.2758,11.33969,37.587757,2025/09/26 19:48:48,32.5
0:04:21.000,3.2758,11.383301,37.730583,2025/09/26 19:48:49,32.5
0:04:22.000,3.2756,11.426868,37.873268,2025/09/26 19:48:50,32.5
0:04:23.000,3.2755,11.470566,38.016376,2025/09/26 19:48:51,32.5
0:04:24.000,3.2754,11.514133,38.159061,2025/09/26 19:48:52,32.5
0:04:25.000,3.2753,11.557744,38.301888,2025/09/26 19:48:53,32.5
0:04:26.000,3.2753,11.601355,38.44471,2025/09/26 19:48:54,32.5
0:04:27.000,3.2754,11.644966,38.587536,2025/09/26 19:48:55,32.5
0:04:28.000,3.2752,11.688577,38.730362,2025/09/26 19:48:56,32.5
0:04:29.000,3.2752,11.732187,38.873188,2025/09/26 19:48:57,32.5
0:04:30.000,3.2749,11.77558,39.015293,2025/09/26 19:48:58,32.5
0:04:31.000,3.2748,11.819366,39.158672,2025/09/26 19:48:59,32.5
0:04:32.000,3.2749,11.862802,39.300884,2025/09/26 19:49:00,32.5
0:04:33.000,3.2748,11.906631,39.444382,2025/09/26 19:49:01,32.5
0:04:34.000,3.2749,11.950242,39.587166,2025/09/26 19:49:02,32.5
0:04:35.000,3.2747,11.993853,39.729946,2025/09/26 19:49:03,32.5
0:04:36.000,3.2744,12.037376,39.872444,2025/09/26 19:49:04,32.5
0:04:37.000,3.2744,12.080987,40.015224,2025/09/26 19:49:05,32.5
0:04:38.000,3.2744,12.124685,40.158291,2025/09/26 19:49:06,32.5
0:04:39.000,3.2744,12.16834,40.301216,2025/09/26 19:49:07,32.5
0:04:40.000,3.2743,12.211906,40.443855,2025/09/26 19:49:08,32.5
0:04:41.000,3.2741,12.255517,40.586639,2025/09/26 19:49:09,32.5
0:04:42.000,3.2742,12.299129,40.72942,2025/09/26 19:49:10,32.5
0:04:43.000,3.2742,12.342695,40.872051,2025/09/26 19:49:11,32.5
0:04:44.000,3.274,12.386307,41.014809,2025/09/26 19:49:12,32.5
0:04:45.000,3.2739,12.429917,41.157555,2025/09/26 19:49:13,32.5
0:04:46.000,3.2737,12.473528,41.300297,2025/09/26 19:49:14,32.5
0:04:47.000,3.2739,12.51522,41.436752,2025/09/26 19:49:15,32.5
0:04:48.000,3.2736,12.560793,41.585915,2025/09/26 19:49:16,32.5
0:04:49.000,3.2736,12.604361,41.728512,2025/09/26 19:49:17,32.5
0:04:50.000,3.2736,12.647361,41.869251,2025/09/26 19:49:18,32.5
0:04:51.000,3.2734,12.691582,42.013988,2025/09/26 19:49:19,32.5
0:04:52.000,3.2734,12.735237,42.156868,2025/09/26 19:49:20,32.5
0:04:53.000,3.2734,12.778543,42.298607,2025/09/26 19:49:21,32.4
0:04:54.000,3.2733,12.822414,42.442204,2025/09/26 19:49:22,32.4
0:04:55.000,3.2735,12.866026,42.584942,2025/09/26 19:49:23,32.4
0:04:56.000,3.2732,12.909723,42.727962,2025/09/26 19:49:24,32.4
0:04:57.000,3.273,12.953247,42.870415,2025/09/26 19:49:25,32.4
0:04:58.000,3.2733,12.996945,43.013439,2025/09/26 19:49:26,32.4
0:04:59.000,3.2732,13.040512,43.156029,2025/09/26 19:49:27,32.4
0:05:00.000,3.2729,13.084167,43.298897,2025/09/26 19:49:28,32.4
0:05:01.000,3.273,13.12769,43.441326,2025/09/26 19:49:29,32.4
0:05:02.000,3.2729,13.171345,43.584187,2025/09/26 19:49:30,32.4
0:05:03.000,3.2729,13.214956,43.726883,2025/09/26 19:49:31,32.4
0:05:04.000,3.273,13.258479,43.869293,2025/09/26 19:49:32,32.4
0:05:05.000,3.2727,13.302134,44.012131,2025/09/26 19:49:33,32.4
0:05:06.000,3.2729,13.345745,44.154827,2025/09/26 19:49:34,32.4
0:05:07.000,3.2727,13.389356,44.29752,2025/09/26 19:49:35,32.4
0:05:08.000,3.2727,13.432966,44.440216,2025/09/26 19:49:36,32.4
0:05:09.000,3.2725,13.476577,44.582912,2025/09/26 19:49:37,32.4
0:05:10.000,3.2725,13.520231,44.72575,2025/09/26 19:49:38,32.4
0:05:11.000,3.2725,13.563799,44.868301,2025/09/26 19:49:39,32.4
0:05:12.000,3.2725,13.607453,45.011139,2025/09/26 19:49:40,32.4
0:05:13.000,3.2724,13.651021,45.15369,2025/09/26 19:49:41,32.4
0:05:14.000,3.2724,13.694675,45.296528,2025/09/26 19:49:42,32.4
0:05:15.000,3.2722,13.738286,45.43922,2025/09/26 19:49:43,32.4
0:05:16.000,3.2722,13.781853,45.581772,2025/09/26 19:49:44,32.4
0:05:17.000,3.2721,13.825507,45.724609,2025/09/26 19:49:45,32.4
0:05:18.000,3.2721,13.869119,45.867306,2025/09/26 19:49:46,32.4
0:05:19.000,3.2721,13.912729,46.009998,2025/09/26 19:49:47,32.4
0:05:20.000,3.2722,13.956296,46.152554,2025/09/26 19:49:48,32.4
0:05:21.000,3.2721,13.999907,46.295246,2025/09/26 19:49:49,32.4
0:05:22.000,3.272,14.043518,46.437931,2025/09/26 19:49:50,32.4
0:05:23.000,3.2721,14.087173,46.580761,2025/09/26 19:49:51,32.4
0:05:24.000,3.2721,14.13074,46.723289,2025/09/26 19:49:52,32.4
0:05:25.000,3.2719,14.174395,46.866093,2025/09/26 19:49:53,32.4
0:05:26.000,3.272,14.217961,47.008606,2025/09/26 19:49:54,32.4
0:05:27.000,3.2719,14.261572,47.151264,2025/09/26 19:49:55,32.4
0:05:28.000,3.2718,14.30514,47.293774,2025/09/26 19:49:56,32.4
0:05:29.000,3.2718,14.348838,47.43671,2025/09/26 19:49:57,32.4
0:05:30.000,3.2716,14.39223,47.578648,2025/09/26 19:49:58,32.4
0:05:31.000,3.2717,14.436059,47.722012,2025/09/26 19:49:59,32.4
0:05:32.000,3.2717,14.47967,47.864662,2025/09/26 19:50:00,32.4
0:05:33.000,3.2716,14.523281,48.007313,2025/09/26 19:50:01,32.4
0:05:34.000,3.2716,14.566892,48.149967,2025/09/26 19:50:02,32.4
0:05:35.000,3.2716,14.610502,48.292618,2025/09/26 19:50:03,32.4
0:05:36.000,3.2714,14.654114,48.435268,2025/09/26 19:50:04,32.4
0:05:37.000,3.2716,14.697724,48.577919,2025/09/26 19:50:05,32.4
0:05:38.000,3.2715,14.741335,48.72057,2025/09/26 19:50:06,32.4
0:05:39.000,3.2714,14.784945,48.86322,2025/09/26 19:50:07,32.4
0:05:40.000,3.2714,14.828557,49.005871,2025/09/26 19:50:08,32.4
0:05:41.000,3.2713,14.872124,49.14838,2025/09/26 19:50:09,32.4
0:05:42.000,3.2713,14.915778,49.291172,2025/09/26 19:50:10,32.4
0:05:43.000,3.2714,14.959389,49.433826,2025/09/26 19:50:11,32.4
0:05:44.000,3.2713,15.003,49.576477,2025/09/26 19:50:12,32.4
0:05:45.000,3.2712,15.046524,49.718842,2025/09/26 19:50:13,32.4
0:05:46.000,3.2713,15.090178,49.861637,2025/09/26 19:50:14,32.4
0:05:47.000,3.2711,15.133789,50.004288,2025/09/26 19:50:15,32.4
0:05:48.000,3.2714,15.177444,50.147076,2025/09/26 19:50:16,32.4
